epoch,train_loss,val_loss,val_precision,val_recall,val_f1
0,0.006,0.0071,0.6742,0.3132,0.4277
5,0.0059,0.0072,0.4983,0.3515,0.4122
10,0.0059,0.0064,0.7545,0.3043,0.4336
15,0.0058,0.0068,0.6487,0.3204,0.4289
20,0.0058,0.0067,0.7477,0.3092,0.4374
25,0.0057,0.0067,0.789,0.2684,0.4005
30,0.0058,0.0068,0.6165,0.2055,0.3082
35,0.0058,0.0073,0.6015,0.2545,0.3576
40,0.0058,0.0066,0.8266,0.226,0.3549
45,0.0057,0.0069,0.8446,0.1714,0.285
50,0.0057,0.0076,0.6454,0.2798,0.3904
55,0.0058,0.0069,0.6218,0.3264,0.4281
60,0.0057,0.0084,0.4748,0.2959,0.3646
65,0.0057,0.0067,0.8001,0.2392,0.3684
70,0.0057,0.0064,0.7784,0.2424,0.3696
75,0.0057,0.0071,0.8544,0.2282,0.3602
80,0.0057,0.0067,0.7689,0.2413,0.3674
85,0.0058,0.0065,0.7467,0.2853,0.4129
90,0.0056,0.0076,0.5221,0.3371,0.4097
95,0.0057,0.0068,0.7223,0.2256,0.3438
