epoch,train_loss,val_loss,val_precision,val_recall,val_f1
0,0.0077,0.0087,0.8424,0.4706,0.6039
5,0.0075,0.0088,0.8474,0.4697,0.6044
10,0.0075,0.0088,0.8956,0.4063,0.559
15,0.0075,0.0095,0.8471,0.4559,0.5928
20,0.0074,0.0088,0.8482,0.4541,0.5915
25,0.0074,0.0086,0.8264,0.4856,0.6117
30,0.0074,0.0088,0.8593,0.4553,0.5952
35,0.0074,0.0087,0.8582,0.4528,0.5928
40,0.0073,0.009,0.855,0.4586,0.597
45,0.0074,0.0087,0.7995,0.4844,0.6033
50,0.0074,0.01,0.8095,0.4443,0.5737
55,0.0073,0.0091,0.8398,0.4703,0.603
60,0.0074,0.0092,0.8682,0.3627,0.5116
65,0.0073,0.0089,0.8487,0.4486,0.5869
70,0.0073,0.0087,0.8749,0.4322,0.5786
75,0.0073,0.0089,0.8119,0.4813,0.6043
80,0.0073,0.0089,0.8642,0.4291,0.5735
85,0.0073,0.0089,0.8284,0.4713,0.6008
90,0.0073,0.0095,0.8865,0.3795,0.5315
95,0.0073,0.0086,0.8354,0.4597,0.593
